,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9
13,"Fall of wickets: 1-32 (Matthew Wade, 3.2 ov), 2-133 (Sai Sudharsan, 14.4 ov), 3-170 (Shubman Gill, 18.5 ov), 4-172 (Hardik Pandya, 19.1 ov)","Fall of wickets: 1-32 (Matthew Wade, 3.2 ov), 2-133 (Sai Sudharsan, 14.4 ov), 3-170 (Shubman Gill, 18.5 ov), 4-172 (Hardik Pandya, 19.1 ov)","Fall of wickets: 1-32 (Matthew Wade, 3.2 ov), 2-133 (Sai Sudharsan, 14.4 ov), 3-170 (Shubman Gill, 18.5 ov), 4-172 (Hardik Pandya, 19.1 ov)","Fall of wickets: 1-32 (Matthew Wade, 3.2 ov), 2-133 (Sai Sudharsan, 14.4 ov), 3-170 (Shubman Gill, 18.5 ov), 4-172 (Hardik Pandya, 19.1 ov)","Fall of wickets: 1-32 (Matthew Wade, 3.2 ov), 2-133 (Sai Sudharsan, 14.4 ov), 3-170 (Shubman Gill, 18.5 ov), 4-172 (Hardik Pandya, 19.1 ov)","Fall of wickets: 1-32 (Matthew Wade, 3.2 ov), 2-133 (Sai Sudharsan, 14.4 ov), 3-170 (Shubman Gill, 18.5 ov), 4-172 (Hardik Pandya, 19.1 ov)","Fall of wickets: 1-32 (Matthew Wade, 3.2 ov), 2-133 (Sai Sudharsan, 14.4 ov), 3-170 (Shubman Gill, 18.5 ov), 4-172 (Hardik Pandya, 19.1 ov)","Fall of wickets: 1-32 (Matthew Wade, 3.2 ov), 2-133 (Sai Sudharsan, 14.4 ov), 3-170 (Shubman Gill, 18.5 ov), 4-172 (Hardik Pandya, 19.1 ov)","Fall of wickets: 1-32 (Matthew Wade, 3.2 ov), 2-133 (Sai Sudharsan, 14.4 ov), 3-170 (Shubman Gill, 18.5 ov), 4-172 (Hardik Pandya, 19.1 ov)",
0,Robin Uthappa,c Markram b Washington Sundar,15,11,17,1,0,136.36,,
1,,,,,,,,,,
2,Ruturaj Gaikwad,b Natarajan,16,13,28,3,0,123.07,,
3,,,,,,,,,,
4,Moeen Ali,c Tripathi b Markram,48,35,59,3,2,137.14,,
5,,,,,,,,,,
6,Ambati Rayudu,c Markram b Washington Sundar,27,27,42,4,0,100.00,,
7,,,,,,,,,,
8,Shivam Dube,c Umran Malik b Natarajan,3,5,11,0,0,60.00,,
9,,,,,,,,,,
10,Ravindra Jadeja (c),c Williamson b Kumar,23,15,29,2,1,153.33,,
11,,,,,,,,,,
12,MS Dhoni †,c Umran Malik b Jansen,3,6,12,0,0,50.00,,
13,,,,,,,,,,
14,Dwayne Bravo,not out,8,5,16,1,0,160.00,,
15,Chris Jordan,not out,6,3,4,0,0,200.00,,
16,Extras,(w 5),5,,,,,,,
17,TOTAL,20 Ov (RR: 7.70),154/7,,,,,,,
18,"Did not bat: Maheesh Theekshana, Mukesh Choudhary","Did not bat: Maheesh Theekshana, Mukesh Choudhary","Did not bat: Maheesh Theekshana, Mukesh Choudhary","Did not bat: Maheesh Theekshana, Mukesh Choudhary","Did not bat: Maheesh Theekshana, Mukesh Choudhary","Did not bat: Maheesh Theekshana, Mukesh Choudhary","Did not bat: Maheesh Theekshana, Mukesh Choudhary","Did not bat: Maheesh Theekshana, Mukesh Choudhary","Did not bat: Maheesh Theekshana, Mukesh Choudhary",
19,"Fall of wickets: 1-25 (Robin Uthappa, 3.1 ov), 2-36 (Ruturaj Gaikwad, 5.1 ov), 3-98 (Ambati Rayudu, 13.3 ov), 4-108 (Moeen Ali, 14.5 ov), 5-110 (Shivam Dube, 15.3 ov), 6-122 (MS Dhoni, 17.3 ov), 7-147 (Ravindra Jadeja, 19.3 ov)","Fall of wickets: 1-25 (Robin Uthappa, 3.1 ov), 2-36 (Ruturaj Gaikwad, 5.1 ov), 3-98 (Ambati Rayudu, 13.3 ov), 4-108 (Moeen Ali, 14.5 ov), 5-110 (Shivam Dube, 15.3 ov), 6-122 (MS Dhoni, 17.3 ov), 7-147 (Ravindra Jadeja, 19.3 ov)","Fall of wickets: 1-25 (Robin Uthappa, 3.1 ov), 2-36 (Ruturaj Gaikwad, 5.1 ov), 3-98 (Ambati Rayudu, 13.3 ov), 4-108 (Moeen Ali, 14.5 ov), 5-110 (Shivam Dube, 15.3 ov), 6-122 (MS Dhoni, 17.3 ov), 7-147 (Ravindra Jadeja, 19.3 ov)","Fall of wickets: 1-25 (Robin Uthappa, 3.1 ov), 2-36 (Ruturaj Gaikwad, 5.1 ov), 3-98 (Ambati Rayudu, 13.3 ov), 4-108 (Moeen Ali, 14.5 ov), 5-110 (Shivam Dube, 15.3 ov), 6-122 (MS Dhoni, 17.3 ov), 7-147 (Ravindra Jadeja, 19.3 ov)","Fall of wickets: 1-25 (Robin Uthappa, 3.1 ov), 2-36 (Ruturaj Gaikwad, 5.1 ov), 3-98 (Ambati Rayudu, 13.3 ov), 4-108 (Moeen Ali, 14.5 ov), 5-110 (Shivam Dube, 15.3 ov), 6-122 (MS Dhoni, 17.3 ov), 7-147 (Ravindra Jadeja, 19.3 ov)","Fall of wickets: 1-25 (Robin Uthappa, 3.1 ov), 2-36 (Ruturaj Gaikwad, 5.1 ov), 3-98 (Ambati Rayudu, 13.3 ov), 4-108 (Moeen Ali, 14.5 ov), 5-110 (Shivam Dube, 15.3 ov), 6-122 (MS Dhoni, 17.3 ov), 7-147 (Ravindra Jadeja, 19.3 ov)","Fall of wickets: 1-25 (Robin Uthappa, 3.1 ov), 2-36 (Ruturaj Gaikwad, 5.1 ov), 3-98 (Ambati Rayudu, 13.3 ov), 4-108 (Moeen Ali, 14.5 ov), 5-110 (Shivam Dube, 15.3 ov), 6-122 (MS Dhoni, 17.3 ov), 7-147 (Ravindra Jadeja, 19.3 ov)","Fall of wickets: 1-25 (Robin Uthappa, 3.1 ov), 2-36 (Ruturaj Gaikwad, 5.1 ov), 3-98 (Ambati Rayudu, 13.3 ov), 4-108 (Moeen Ali, 14.5 ov), 5-110 (Shivam Dube, 15.3 ov), 6-122 (MS Dhoni, 17.3 ov), 7-147 (Ravindra Jadeja, 19.3 ov)","Fall of wickets: 1-25 (Robin Uthappa, 3.1 ov), 2-36 (Ruturaj Gaikwad, 5.1 ov), 3-98 (Ambati Rayudu, 13.3 ov), 4-108 (Moeen Ali, 14.5 ov), 5-110 (Shivam Dube, 15.3 ov), 6-122 (MS Dhoni, 17.3 ov), 7-147 (Ravindra Jadeja, 19.3 ov)",
0,Abhishek Sharma,c Jordan b Bravo,75,50,81,5,3,150.00,,
1,,,,,,,,,,
2,Kane Williamson (c),c Ali b Mukesh Choudhary,32,40,53,2,1,80.00,,
3,,,,,,,,,,
4,Rahul Tripathi,not out,39,15,32,5,2,260.00,,
5,Nicholas Pooran †,not out,5,2,4,1,0,250.00,,
6,Extras,"(nb 1, w 3)",4,,,,,,,
7,TOTAL,17.4 Ov (RR: 8.77),155/2,,,,,,,
8,"Did not bat: Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Did not bat: Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Did not bat: Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Did not bat: Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Did not bat: Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Did not bat: Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Did not bat: Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Did not bat: Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Did not bat: Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",
9,"Fall of wickets: 1-89 (Kane Williamson, 12.1 ov), 2-145 (Abhishek Sharma, 17.1 ov)","Fall of wickets: 1-89 (Kane Williamson, 12.1 ov), 2-145 (Abhishek Sharma, 17.1 ov)","Fall of wickets: 1-89 (Kane Williamson, 12.1 ov), 2-145 (Abhishek Sharma, 17.1 ov)","Fall of wickets: 1-89 (Kane Williamson, 12.1 ov), 2-145 (Abhishek Sharma, 17.1 ov)","Fall of wickets: 1-89 (Kane Williamson, 12.1 ov), 2-145 (Abhishek Sharma, 17.1 ov)","Fall of wickets: 1-89 (Kane Williamson, 12.1 ov), 2-145 (Abhishek Sharma, 17.1 ov)","Fall of wickets: 1-89 (Kane Williamson, 12.1 ov), 2-145 (Abhishek Sharma, 17.1 ov)","Fall of wickets: 1-89 (Kane Williamson, 12.1 ov), 2-145 (Abhishek Sharma, 17.1 ov)","Fall of wickets: 1-89 (Kane Williamson, 12.1 ov), 2-145 (Abhishek Sharma, 17.1 ov)",
0,Ishan Kishan †,c Mohammed Siraj b Akash Deep,26,28,52,3,0,92.85,,
1,,,,,,,,,,
2,Rohit Sharma (c),c & b Patel,26,15,34,4,1,173.33,,
3,,,,,,,,,,
4,Dewald Brevis,lbw b de Silva,8,11,12,1,0,72.72,,
5,,,,,,,,,,
6,Suryakumar Yadav,not out,68,37,65,5,6,183.78,,
7,Tilak Varma,run out (Maxwell),0,3,5,0,0,0.00,,
8,,,,,,,,,,
9,Kieron Pollard,lbw b de Silva,0,1,5,0,0,0.00,,
10,,,,,,,,,,
11,Ramandeep Singh,c †Karthik b Patel,6,12,16,0,0,50.00,,
12,,,,,,,,,,
13,Jaydev Unadkat,not out,13,14,37,1,0,92.85,,
14,Extras,"(lb 2, nb 1, w 1)",4,,,,,,,
15,TOTAL,20 Ov (RR: 7.55),151/6,,,,,,,
16,"Did not bat: Murugan Ashwin, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Jasprit Bumrah, Basil Thampi",
17,"Fall of wickets: 1-50 (Rohit Sharma, 6.2 ov), 2-60 (Dewald Brevis, 8.3 ov), 3-62 (Ishan Kishan, 9.2 ov), 4-62 (Tilak Varma, 9.5 ov), 5-62 (Kieron Pollard, 10.1 ov), 6-79 (Ramandeep Singh, 13.2 ov)","Fall of wickets: 1-50 (Rohit Sharma, 6.2 ov), 2-60 (Dewald Brevis, 8.3 ov), 3-62 (Ishan Kishan, 9.2 ov), 4-62 (Tilak Varma, 9.5 ov), 5-62 (Kieron Pollard, 10.1 ov), 6-79 (Ramandeep Singh, 13.2 ov)","Fall of wickets: 1-50 (Rohit Sharma, 6.2 ov), 2-60 (Dewald Brevis, 8.3 ov), 3-62 (Ishan Kishan, 9.2 ov), 4-62 (Tilak Varma, 9.5 ov), 5-62 (Kieron Pollard, 10.1 ov), 6-79 (Ramandeep Singh, 13.2 ov)","Fall of wickets: 1-50 (Rohit Sharma, 6.2 ov), 2-60 (Dewald Brevis, 8.3 ov), 3-62 (Ishan Kishan, 9.2 ov), 4-62 (Tilak Varma, 9.5 ov), 5-62 (Kieron Pollard, 10.1 ov), 6-79 (Ramandeep Singh, 13.2 ov)","Fall of wickets: 1-50 (Rohit Sharma, 6.2 ov), 2-60 (Dewald Brevis, 8.3 ov), 3-62 (Ishan Kishan, 9.2 ov), 4-62 (Tilak Varma, 9.5 ov), 5-62 (Kieron Pollard, 10.1 ov), 6-79 (Ramandeep Singh, 13.2 ov)","Fall of wickets: 1-50 (Rohit Sharma, 6.2 ov), 2-60 (Dewald Brevis, 8.3 ov), 3-62 (Ishan Kishan, 9.2 ov), 4-62 (Tilak Varma, 9.5 ov), 5-62 (Kieron Pollard, 10.1 ov), 6-79 (Ramandeep Singh, 13.2 ov)","Fall of wickets: 1-50 (Rohit Sharma, 6.2 ov), 2-60 (Dewald Brevis, 8.3 ov), 3-62 (Ishan Kishan, 9.2 ov), 4-62 (Tilak Varma, 9.5 ov), 5-62 (Kieron Pollard, 10.1 ov), 6-79 (Ramandeep Singh, 13.2 ov)","Fall of wickets: 1-50 (Rohit Sharma, 6.2 ov), 2-60 (Dewald Brevis, 8.3 ov), 3-62 (Ishan Kishan, 9.2 ov), 4-62 (Tilak Varma, 9.5 ov), 5-62 (Kieron Pollard, 10.1 ov), 6-79 (Ramandeep Singh, 13.2 ov)","Fall of wickets: 1-50 (Rohit Sharma, 6.2 ov), 2-60 (Dewald Brevis, 8.3 ov), 3-62 (Ishan Kishan, 9.2 ov), 4-62 (Tilak Varma, 9.5 ov), 5-62 (Kieron Pollard, 10.1 ov), 6-79 (Ramandeep Singh, 13.2 ov)",
0,Faf du Plessis (c),c Yadav b Unadkat,16,24,41,1,0,66.66,,
1,,,,,,,,,,
2,Anuj Rawat,run out (Ramandeep Singh),66,47,87,2,6,140.42,,
3,,,,,,,,,,
4,Virat Kohli,lbw b Brevis,48,36,56,5,0,133.33,,
5,,,,,,,,,,
6,Dinesh Karthik †,not out,7,2,13,0,1,350.00,,
7,Glenn Maxwell,not out,8,2,2,2,0,400.00,,
8,Extras,"(lb 4, w 3)",7,,,,,,,
9,TOTAL,18.3 Ov (RR: 8.21),152/3,,,,,,,
10,"Did not bat: David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep",
11,"Fall of wickets: 1-50 (Faf du Plessis, 8.1 ov), 2-130 (Anuj Rawat, 16.5 ov), 3-144 (Virat Kohli, 18.1 ov)","Fall of wickets: 1-50 (Faf du Plessis, 8.1 ov), 2-130 (Anuj Rawat, 16.5 ov), 3-144 (Virat Kohli, 18.1 ov)","Fall of wickets: 1-50 (Faf du Plessis, 8.1 ov), 2-130 (Anuj Rawat, 16.5 ov), 3-144 (Virat Kohli, 18.1 ov)","Fall of wickets: 1-50 (Faf du Plessis, 8.1 ov), 2-130 (Anuj Rawat, 16.5 ov), 3-144 (Virat Kohli, 18.1 ov)","Fall of wickets: 1-50 (Faf du Plessis, 8.1 ov), 2-130 (Anuj Rawat, 16.5 ov), 3-144 (Virat Kohli, 18.1 ov)","Fall of wickets: 1-50 (Faf du Plessis, 8.1 ov), 2-130 (Anuj Rawat, 16.5 ov), 3-144 (Virat Kohli, 18.1 ov)","Fall of wickets: 1-50 (Faf du Plessis, 8.1 ov), 2-130 (Anuj Rawat, 16.5 ov), 3-144 (Virat Kohli, 18.1 ov)","Fall of wickets: 1-50 (Faf du Plessis, 8.1 ov), 2-130 (Anuj Rawat, 16.5 ov), 3-144 (Virat Kohli, 18.1 ov)","Fall of wickets: 1-50 (Faf du Plessis, 8.1 ov), 2-130 (Anuj Rawat, 16.5 ov), 3-144 (Virat Kohli, 18.1 ov)",
0,Prithvi Shaw,b Varun,51,29,44,7,2,175.86,,
1,,,,,,,,,,
2,David Warner,c Rahane b Yadav,61,45,90,6,2,135.55,,
3,,,,,,,,,,
4,Rishabh Pant (c)†,c Yadav b Russell,27,14,24,2,2,192.85,,
5,,,,,,,,,,
6,Lalit Yadav,lbw b Narine,1,4,6,0,0,25.00,,
7,,,,,,,,,,
8,Rovman Powell,c sub (RK Singh) b Narine,8,6,9,0,1,133.33,,
9,,,,,,,,,,
10,Axar Patel,not out,22,14,28,2,1,157.14,,
11,Shardul Thakur,not out,29,11,20,1,3,263.63,,
12,Extras,"(b 4, lb 7, nb 3, w 2)",16,,,,,,,
13,TOTAL,20 Ov (RR: 10.75),215/5,,,,,,,
14,"Did not bat: Sarfaraz Khan, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Did not bat: Sarfaraz Khan, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Did not bat: Sarfaraz Khan, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Did not bat: Sarfaraz Khan, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Did not bat: Sarfaraz Khan, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Did not bat: Sarfaraz Khan, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Did not bat: Sarfaraz Khan, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Did not bat: Sarfaraz Khan, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Did not bat: Sarfaraz Khan, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed",
15,"Fall of wickets: 1-93 (Prithvi Shaw, 8.4 ov), 2-148 (Rishabh Pant, 12.5 ov), 3-151 (Lalit Yadav, 13.5 ov), 4-161 (Rovman Powell, 15.1 ov), 5-166 (David Warner, 16.4 ov)","Fall of wickets: 1-93 (Prithvi Shaw, 8.4 ov), 2-148 (Rishabh Pant, 12.5 ov), 3-151 (Lalit Yadav, 13.5 ov), 4-161 (Rovman Powell, 15.1 ov), 5-166 (David Warner, 16.4 ov)","Fall of wickets: 1-93 (Prithvi Shaw, 8.4 ov), 2-148 (Rishabh Pant, 12.5 ov), 3-151 (Lalit Yadav, 13.5 ov), 4-161 (Rovman Powell, 15.1 ov), 5-166 (David Warner, 16.4 ov)","Fall of wickets: 1-93 (Prithvi Shaw, 8.4 ov), 2-148 (Rishabh Pant, 12.5 ov), 3-151 (Lalit Yadav, 13.5 ov), 4-161 (Rovman Powell, 15.1 ov), 5-166 (David Warner, 16.4 ov)","Fall of wickets: 1-93 (Prithvi Shaw, 8.4 ov), 2-148 (Rishabh Pant, 12.5 ov), 3-151 (Lalit Yadav, 13.5 ov), 4-161 (Rovman Powell, 15.1 ov), 5-166 (David Warner, 16.4 ov)","Fall of wickets: 1-93 (Prithvi Shaw, 8.4 ov), 2-148 (Rishabh Pant, 12.5 ov), 3-151 (Lalit Yadav, 13.5 ov), 4-161 (Rovman Powell, 15.1 ov), 5-166 (David Warner, 16.4 ov)","Fall of wickets: 1-93 (Prithvi Shaw, 8.4 ov), 2-148 (Rishabh Pant, 12.5 ov), 3-151 (Lalit Yadav, 13.5 ov), 4-161 (Rovman Powell, 15.1 ov), 5-166 (David Warner, 16.4 ov)","Fall of wickets: 1-93 (Prithvi Shaw, 8.4 ov), 2-148 (Rishabh Pant, 12.5 ov), 3-151 (Lalit Yadav, 13.5 ov), 4-161 (Rovman Powell, 15.1 ov), 5-166 (David Warner, 16.4 ov)","Fall of wickets: 1-93 (Prithvi Shaw, 8.4 ov), 2-148 (Rishabh Pant, 12.5 ov), 3-151 (Lalit Yadav, 13.5 ov), 4-161 (Rovman Powell, 15.1 ov), 5-166 (David Warner, 16.4 ov)",
0,Ajinkya Rahane,c Thakur b Ahmed,8,14,29,1,0,57.14,,
1,,,,,,,,,,
2,Venkatesh Iyer,c Patel b Ahmed,18,8,16,1,2,225.00,,
3,,,,,,,,,,
4,Shreyas Iyer (c),st †Pant b Kuldeep Yadav,54,33,54,5,2,163.63,,
5,,,,,,,,,,
6,Nitish Rana,c Shaw b Lalit Yadav,30,20,37,0,3,150.00,,
7,,,,,,,,,,
8,Andre Russell,c Khan b Thakur,24,21,45,3,0,114.28,,
9,,,,,,,,,,
10,Sam Billings †,c Lalit Yadav b Ahmed,15,9,10,1,1,166.66,,
11,,,,,,,,,,
12,Pat Cummins,lbw b Kuldeep Yadav,4,3,7,1,0,133.33,,
13,,,,,,,,,,
14,Sunil Narine,c Powell b Kuldeep Yadav,4,2,3,1,0,200.00,,
15,,,,,,,,,,
16,Umesh Yadav,c & b Kuldeep Yadav,0,1,2,0,0,0.00,,
17,,,,,,,,,,
18,Rasikh Salam,c Powell b Thakur,7,6,21,1,0,116.66,,
19,,,,,,,,,,
20,Varun Chakravarthy,not out,1,1,3,0,0,100.00,,
21,Extras,"(lb 3, w 3)",6,,,,,,,
22,TOTAL,19.4 Ov (RR: 8.69),171,,,,,,,
23,"Fall of wickets: 1-21 (Venkatesh Iyer, 2.3 ov), 2-38 (Ajinkya Rahane, 4.4 ov), 3-107 (Nitish Rana, 11.4 ov), 4-117 (Shreyas Iyer, 12.5 ov), 5-133 (Sam Billings, 14.4 ov), 6-139 (Pat Cummins, 15.3 ov), 7-143 (Sunil Narine, 15.5 ov), 8-143 (Umesh Yadav, 15.6 ov), 9-170 (Andre Russell, 19.2 ov), 10-171 (Rasikh Salam, 19.4 ov)","Fall of wickets: 1-21 (Venkatesh Iyer, 2.3 ov), 2-38 (Ajinkya Rahane, 4.4 ov), 3-107 (Nitish Rana, 11.4 ov), 4-117 (Shreyas Iyer, 12.5 ov), 5-133 (Sam Billings, 14.4 ov), 6-139 (Pat Cummins, 15.3 ov), 7-143 (Sunil Narine, 15.5 ov), 8-143 (Umesh Yadav, 15.6 ov), 9-170 (Andre Russell, 19.2 ov), 10-171 (Rasikh Salam, 19.4 ov)","Fall of wickets: 1-21 (Venkatesh Iyer, 2.3 ov), 2-38 (Ajinkya Rahane, 4.4 ov), 3-107 (Nitish Rana, 11.4 ov), 4-117 (Shreyas Iyer, 12.5 ov), 5-133 (Sam Billings, 14.4 ov), 6-139 (Pat Cummins, 15.3 ov), 7-143 (Sunil Narine, 15.5 ov), 8-143 (Umesh Yadav, 15.6 ov), 9-170 (Andre Russell, 19.2 ov), 10-171 (Rasikh Salam, 19.4 ov)","Fall of wickets: 1-21 (Venkatesh Iyer, 2.3 ov), 2-38 (Ajinkya Rahane, 4.4 ov), 3-107 (Nitish Rana, 11.4 ov), 4-117 (Shreyas Iyer, 12.5 ov), 5-133 (Sam Billings, 14.4 ov), 6-139 (Pat Cummins, 15.3 ov), 7-143 (Sunil Narine, 15.5 ov), 8-143 (Umesh Yadav, 15.6 ov), 9-170 (Andre Russell, 19.2 ov), 10-171 (Rasikh Salam, 19.4 ov)","Fall of wickets: 1-21 (Venkatesh Iyer, 2.3 ov), 2-38 (Ajinkya Rahane, 4.4 ov), 3-107 (Nitish Rana, 11.4 ov), 4-117 (Shreyas Iyer, 12.5 ov), 5-133 (Sam Billings, 14.4 ov), 6-139 (Pat Cummins, 15.3 ov), 7-143 (Sunil Narine, 15.5 ov), 8-143 (Umesh Yadav, 15.6 ov), 9-170 (Andre Russell, 19.2 ov), 10-171 (Rasikh Salam, 19.4 ov)","Fall of wickets: 1-21 (Venkatesh Iyer, 2.3 ov), 2-38 (Ajinkya Rahane, 4.4 ov), 3-107 (Nitish Rana, 11.4 ov), 4-117 (Shreyas Iyer, 12.5 ov), 5-133 (Sam Billings, 14.4 ov), 6-139 (Pat Cummins, 15.3 ov), 7-143 (Sunil Narine, 15.5 ov), 8-143 (Umesh Yadav, 15.6 ov), 9-170 (Andre Russell, 19.2 ov), 10-171 (Rasikh Salam, 19.4 ov)","Fall of wickets: 1-21 (Venkatesh Iyer, 2.3 ov), 2-38 (Ajinkya Rahane, 4.4 ov), 3-107 (Nitish Rana, 11.4 ov), 4-117 (Shreyas Iyer, 12.5 ov), 5-133 (Sam Billings, 14.4 ov), 6-139 (Pat Cummins, 15.3 ov), 7-143 (Sunil Narine, 15.5 ov), 8-143 (Umesh Yadav, 15.6 ov), 9-170 (Andre Russell, 19.2 ov), 10-171 (Rasikh Salam, 19.4 ov)","Fall of wickets: 1-21 (Venkatesh Iyer, 2.3 ov), 2-38 (Ajinkya Rahane, 4.4 ov), 3-107 (Nitish Rana, 11.4 ov), 4-117 (Shreyas Iyer, 12.5 ov), 5-133 (Sam Billings, 14.4 ov), 6-139 (Pat Cummins, 15.3 ov), 7-143 (Sunil Narine, 15.5 ov), 8-143 (Umesh Yadav, 15.6 ov), 9-170 (Andre Russell, 19.2 ov), 10-171 (Rasikh Salam, 19.4 ov)","Fall of wickets: 1-21 (Venkatesh Iyer, 2.3 ov), 2-38 (Ajinkya Rahane, 4.4 ov), 3-107 (Nitish Rana, 11.4 ov), 4-117 (Shreyas Iyer, 12.5 ov), 5-133 (Sam Billings, 14.4 ov), 6-139 (Pat Cummins, 15.3 ov), 7-143 (Sunil Narine, 15.5 ov), 8-143 (Umesh Yadav, 15.6 ov), 9-170 (Andre Russell, 19.2 ov), 10-171 (Rasikh Salam, 19.4 ov)",
0,Jos Buttler,b Avesh Khan,13,11,30,1,1,118.18,,
1,,,,,,,,,,
2,Devdutt Padikkal,c Holder b Gowtham,29,29,51,4,0,100.00,,
3,,,,,,,,,,
4,Sanju Samson (c)†,lbw b Holder,13,12,17,2,0,108.33,,
5,,,,,,,,,,
6,Rassie van der Dussen,b Gowtham,4,4,9,1,0,100.00,,
7,,,,,,,,,,
8,Shimron Hetmyer,not out,59,36,55,1,6,163.88,,
9,Ravichandran Ashwin,retired out,28,23,40,0,2,121.73,,
10,,,,,,,,,,
11,Riyan Parag,c Gowtham b Holder,8,4,10,0,1,200.00,,
12,,,,,,,,,,
13,Trent Boult,not out,2,1,1,0,0,200.00,,
14,Extras,"(lb 3, w 6)",9,,,,,,,
15,TOTAL,20 Ov (RR: 8.25),165/6,,,,,,,
16,"Did not bat: Yuzvendra Chahal, Kuldeep Sen, Prasidh Krishna","Did not bat: Yuzvendra Chahal, Kuldeep Sen, Prasidh Krishna","Did not bat: Yuzvendra Chahal, Kuldeep Sen, Prasidh Krishna","Did not bat: Yuzvendra Chahal, Kuldeep Sen, Prasidh Krishna","Did not bat: Yuzvendra Chahal, Kuldeep Sen, Prasidh Krishna","Did not bat: Yuzvendra Chahal, Kuldeep Sen, Prasidh Krishna","Did not bat: Yuzvendra Chahal, Kuldeep Sen, Prasidh Krishna","Did not bat: Yuzvendra Chahal, Kuldeep Sen, Prasidh Krishna","Did not bat: Yuzvendra Chahal, Kuldeep Sen, Prasidh Krishna",
